date,time,group,subject,session,build,AGE_response,AGE_latency,Gender_response,Gender_latency,Ethnicity_response,Ethnicity_latency,Education_response,Education_latency,English_response,English_latency,PolAff1_response,PolAff1_latency,PolAff2_response,PolAff2_latency,NCS1_response,NCS1_latency,NCS2_response,NCS2_latency,NCS3_response,NCS3_latency,NCS4_response,NCS4_latency,NCS5_response,NCS5_latency,NCS6_response,NCS6_latency,CRT1_response,CRT1_latency,CRT2_response,CRT2_latency,CRT3_response,CRT3_latency,BDM1_30_response,BDM1_30_latency,BDM2_50_response,BDM2_50_latency,BDM3_70_response,BDM3_70_latency,BDM4_80_response,BDM4_80_latency,BDM5_90_response,BDM5_90_latency,SCES1_S_response,SCES1_S_latency,SCES2_E_response,SCES2_E_latency,SCES3_S_response,SCES3_S_latency,SCES4_S_response,SCES4_S_latency,SCES5_E_response,SCES5_E_latency,SCES6_E_response,SCES6_E_latency,SCES7_S_response,SCES7_S_latency,SCES8_S_response,SCES8_S_latency,SCES9_E_response,SCES9_E_latency,SCES10_E_response,SCES10_E_latency,SCES11_S_response,SCES11_S_latency,SCES12_S_response,SCES12_S_latency,Last_1_response,Last_1_latency
8/10/21,13:17:39,1,REMOVED,1,6.4.2,22,11739,Female,11739,African-American,11739,High School,11739,Yes,11739,Very liberal,3631,Democrat,3631,1,22829,1,22829,7,22829,7,22829,1,22829,1,22829,10cents,38422,5minutes,38422,47,38422,5,50571,Doctor,50571,7,50571,20,50571,1in10,50571,100,24376,100,24376,0,24376,94,24376,100,24376,19,24376,0,24376,0,24376,65,24376,76,24376,66,24376,26,24376,,5383
8/10/21,13:14:38,4,REMOVED,1,6.4.2,28,10286,Male,10286,Caucasian,10286,High School,10286,Yes,10286,Very liberal,5063,Democrat,5063,5,14795,5,14795,3,14795,2,14795,5,14795,5,14795,10cents,46623,100minutes,46623,24days,46623,onetenthofonepercent,86108,idk,86108,64,86108,20,86108,1in10,86108,85,40044,4,40044,65,40044,4,40044,62,40044,27,40044,18,40044,17,40044,63,40044,60,40044,59,40044,59,40044,this took way too long ,7379
8/10/21,12:13:46,2,REMOVED,1,6.4.2,30,14224,Male,14224,Caucasian,14224,Bachelor's Degree,14224,Yes,14224,Very liberal,4143,Democrat,4143,7,21169,6,21169,1,21169,2,21169,7,21169,7,21169,5cents,68525,100minutes,68525,47,68525,point1percent,119046,atrisk,119046,64,119046,20,119046,1in10,119046,100,35518,15,35518,0,35518,27,35518,99,35518,50,35518,31,35518,7,35518,27,35518,7,35518,43,35518,0,35518,The fill in the blank questions after the test would not let me input spaces or decimal points. I tried to make my answers as clear as possible without them. ,31333
8/10/21,13:13:37,3,REMOVED,1,6.4.2,31,9057,Male,9057,Caucasian,9057,Bachelor's Degree,9057,Yes,9057,Very liberal,3163,Democrat,3163,3,37871,4,37871,3,37871,3,37871,3,37871,2,37871,10,66359,100,66359,47,66359,1,128055,person,128055,64,128055,20,128055,10,128055,100,680458,24,680458,33,680458,6,680458,80,680458,9,680458,50,680458,20,680458,29,680458,50,680458,25,680458,23,680458,,2555
8/10/21,10:29:44,3,REMOVED,1,6.4.2,31,11653,Male,11653,Asian,11653,Bachelor's Degree,11653,Yes,11653,Somewhat liberal,5074,Democrat,5074,7,37794,4,37794,2,37794,2,37794,6,37794,6,37794,10,33312,5,33312,47,33312,pointonepercent,302005,person,302005,64,302005,20,302005,1in10,302005,66,57721,46,57721,43,57721,22,57721,62,57721,46,57721,35,57721,34,57721,51,57721,64,57721,59,57721,47,57721,I wasn't allowed to uses spaces or the decimal pont (.) in answering the questions at the end.,36806
8/10/21,10:42:16,3,REMOVED,1,6.4.2,64,15101,Female,15101,Caucasian,15101,Associate's Degree,15101,Yes,15101,Very liberal,7402,Democrat,7402,4,33938,5,33938,2,33938,1,33938,6,33938,6,33938,10,48497,100,48497,12,48497,1,141102,Both,141102,64,141102,20,141102,1in10,141102,50,61877,76,61877,77,61877,18,61877,74,61877,17,61877,50,61877,50,61877,96,61877,75,61877,100,61877,19,61877,,4258
8/10/21,13:52:50,2,REMOVED,1,6.4.2,40,16255,Female,16255,Caucasian,16255,Master's Degree,16255,Yes,16255,Somewhat liberal,6892,Democrat,6892,5,50934,4,50934,1,50934,2,50934,6,50934,5,50934,5cents,124001,5minutes,124001,47days,124001,01percent,183445,atriskpopulation,183445,64percent,183445,20,183445,1in10,183445,50,72770,33,72770,49,72770,51,72770,70,72770,37,72770,50,72770,11,72770,64,72770,57,72770,69,72770,28,72770,,6563
8/10/21,10:52:24,4,REMOVED,1,6.4.2,31,11425,Female,11425,Caucasian,11425,Associate's Degree,11425,Yes,11425,Very liberal,8224,Democrat,8224,4,28144,5,28144,2,28144,2,28144,7,28144,5,28144,5,76344,5,76344,47,76344,point10,188102,person,188102,64,188102,20,188102,1in10,188102,73,78561,37,78561,36,78561,25,78561,71,78561,29,78561,15,78561,18,78561,39,78561,28,78561,70,78561,31,78561,,4740
8/10/21,14:31:52,3,REMOVED,1,6.4.2,25,9582,Male,9582,Caucasian,9582,Bachelor's Degree,9582,Yes,9582,Somewhat liberal,3390,Democrat,3390,3,21812,5,21812,2,21812,2,21812,7,21812,7,21812,0point10,53327,100,53327,47,53327,0point1,152594,Randomlyselectedperson,152594,64,152594,20,152594,1in10,152594,74,35472,57,35472,45,35472,61,35472,63,35472,53,35472,70,35472,35,35472,74,35472,64,35472,53,35472,55,35472,"None, thank you.",8873
8/10/21,11:42:24,4,REMOVED,1,6.4.2,24,25364,Male,25364,Caucasian,25364,Bachelor's Degree,25364,Yes,25364,Very liberal,4441,Democrat,4441,5,20710,6,20710,2,20710,2,20710,5,20710,5,20710,10cents,86917,5minutes,86917,24,86917,1,101100,Atriskpopulation,101100,64,101100,20,101100,1in10,101100,89,37684,5,37684,56,37684,0,37684,95,37684,38,37684,50,37684,18,37684,46,37684,19,37684,43,37684,58,37684,"During the math questions at the end, the answer boxes are insufficent. You can not type decimal points or spaces.",25093
8/10/21,11:40:53,1,REMOVED,1,6.4.2,28,12790,Female,12790,Asian,12790,High School,12790,Yes,12790,Very liberal,3605,Democrat,3605,2,28309,2,28309,1,28309,3,28309,3,28309,2,28309,10cents,78020,100minutes,78020,24days,78020,1,211684,person,211684,64,211684,20,211684,1in10,211684,100,45338,100,45338,27,45338,75,45338,100,45338,0,45338,1,45338,1,45338,51,45338,51,45338,47,45338,0,45338,,4878
8/10/21,15:02:03,2,REMOVED,1,6.4.2,37,13522,Female,13522,Caucasian,13522,Associate's Degree,13522,Yes,13522,Neither liberal nor conservative,10910,Democrat,10910,1,57576,4,57576,3,57576,4,57576,6,57576,5,57576,5cents,223434,20,223434,7,223434,10,164319,person,164319,64,164319,20,164319,1in10,164319,22,123523,50,123523,40,123523,67,123523,42,123523,24,123523,50,123523,50,123523,53,123523,50,123523,59,123523,45,123523,,13952
8/10/21,14:01:46,3,REMOVED,1,6.4.2,22,12163,Female,12163,African-American,12163,High School,12163,Yes,12163,Closer to liberals,21049,Independent,21049,5,35694,7,35694,1,35694,1,35694,5,35694,5,35694,50cents,334044,5minutes,334044,47days,334044,001percent,160673,doctors,160673,14percent,160673,20percent,160673,1in10,160673,100,48693,94,48693,0,48693,50,48693,100,48693,91,48693,50,48693,40,48693,50,48693,49,48693,39,48693,30,48693,,10959
8/10/21,15:41:44,3,REMOVED,1,6.4.2,29,9845,Female,9845,African-American,9845,Bachelor's Degree,9845,Yes,9845,Somewhat liberal,5365,Democrat,5365,5,30522,6,30522,1,30522,2,30522,7,30522,6,30522,10,69797,100,69797,24,69797,1,252894,Doctor,252894,64,252894,2,252894,1in10,252894,51,40461,79,40461,76,40461,100,40461,97,40461,33,40461,50,40461,69,40461,68,40461,50,40461,50,40461,100,40461,Too long and repetitive.Cant add a decimal point to numbers,43365
8/10/21,16:10:02,2,REMOVED,1,6.4.2,22,9266,Male,9266,Caucasian,9266,Bachelor's Degree,9266,Yes,9266,Very liberal,4891,Democrat,4891,7,16729,7,16729,1,16729,1,16729,7,16729,7,16729,10cents,65873,100,65873,24,65873,1,141739,Person,141739,64,141739,20,141739,1in10,141739,78,28598,9,28598,41,28598,56,28598,94,28598,58,28598,0,28598,3,28598,17,28598,72,28598,7,28598,22,28598,,2815
8/10/21,17:21:32,2,REMOVED,1,6.4.2,20,10483,Female,10483,African-American,10483,Associate's Degree,10483,Yes,10483,Somewhat liberal,5214,Democrat,5214,5,21352,5,21352,3,21352,3,21352,5,21352,5,21352,10cents,61072,100minutes,61072,24days,61072,1,98917,doctor,98917,64,98917,80,98917,1in10,98917,100,50283,74,50283,40,50283,79,50283,89,50283,39,50283,51,50283,37,50283,80,50283,64,50283,62,50283,29,50283,,6957
8/10/21,17:14:58,3,REMOVED,1,6.4.2,29,10568,Male,10568,Caucasian,10568,High School,10568,Yes,10568,Somewhat liberal,3801,Democrat,3801,6,21623,6,21623,2,21623,5,21623,3,21623,4,21623,10,52688,5,52688,47,52688,1,110738,person,110738,64,110738,20,110738,10,110738,50,56844,50,56844,50,56844,50,56844,79,56844,50,56844,50,56844,50,56844,100,56844,77,56844,50,56844,50,56844,,4001
8/10/21,14:34:20,4,REMOVED,1,6.4.2,25,8349,Female,8349,Asian,8349,Bachelor's Degree,8349,Yes,8349,Very liberal,7042,Democrat,7042,6,22969,4,22969,1,22969,2,22969,6,22969,6,22969,5cents,64490,5,64490,47,64490,1,112273,atriskperson,112273,64,112273,20,112273,1in100,112273,98,45399,10,45399,1,45399,31,45399,100,45399,0,45399,48,45399,48,45399,50,45399,50,45399,74,45399,31,45399,"The application did not allow me to use spaces, periods, slashes, etc which was necessary in the question and answer segment. (For example, saying 0.1% was not possible)",39786
8/10/21,17:31:18,3,REMOVED,1,6.4.2,21,12944,Nonbinary,12944,Caucasian,12944,Associate's Degree,12944,Yes,12944,Very liberal,4017,Democrat,4017,6,16833,6,16833,4,16833,4,16833,6,16833,6,16833,5cents,132875,5minutes,132875,47,132875,,68258,,68258,,68258,,68258,,68258,94,35431,9,35431,4,35431,24,35431,90,35431,17,35431,10,35431,10,35431,56,35431,30,35431,13,35431,0,35431,,2097
8/10/21,15:37:23,4,REMOVED,1,6.4.1,24,8648,Female,8648,Caucasian,8648,Bachelor's Degree,8648,,8648,Somewhat liberal,7994,Democrat,7994,6,13196,4,13196,4,13196,5,13196,,13196,,13196,10cents,17697,5,17697,47,17697,point001,115576,doctor,115576,64,115576,,115576,,115576,81,49947,51,49947,21,49947,50,49947,96,49947,16,49947,51,49947,41,49947,47,49947,48,49947,39,49947,0,49947,,4764
8/10/21,18:53:13,3,REMOVED,1,6.4.2,19,11258,Female,11258,Caucasian,11258,Associate's Degree,11258,Yes,11258,Somewhat liberal,4817,Independent,4817,3,21685,4,21685,3,21685,4,21685,3,21685,5,21685,05cents,173437,100,173437,12,173437,1,119090,personatrisk,119090,64,119090,20,119090,1in10,119090,100,27693,67,27693,41,27693,6,27693,82,27693,30,27693,34,27693,13,27693,27,27693,6,27693,29,27693,45,27693,,1669
8/10/21,16:08:41,1,REMOVED,1,6.4.2,32,14709,Female,14709,Caucasian,14709,Associate's Degree,14709,Yes,14709,Very liberal,4250,Democrat,4250,6,22284,6,22284,1,22284,3,22284,5,22284,4,22284,tencents,40273,5minutes,40273,47days,40273,onetenthofapercent,138201,randomlyselectedperson,138201,64,138201,20,138201,1in10,138201,100,62696,21,62696,0,62696,0,62696,100,62696,42,62696,42,62696,8,62696,57,62696,0,62696,56,62696,0,62696,The short answer questions had text fields but you couldn't include symbols or use the space bar.,39426
8/10/21,17:11:05,2,REMOVED,1,6.4.2,31,17149,Male,17149,Asian,17149,Bachelor's Degree,17149,Yes,17149,Neither liberal nor conservative,7968,Independent,7968,7,63800,5,63800,2,63800,,63800,6,63800,6,63800,5cents,317382,100,317382,47,317382,1,208336,doctor,208336,74,208336,20,208336,1in100,208336,2,43625,50,43625,68,43625,49,43625,77,43625,33,43625,66,43625,19,43625,67,43625,84,43625,69,43625,50,43625,,16714
8/10/21,19:44:51,4,REMOVED,1,6.4.2,39,18890,Male,18890,,18890,Bachelor's Degree,18890,Yes,18890,Very liberal,5472,Democrat,5472,7,20774,6,20774,,20774,1,20774,7,20774,7,20774,5,23736,100,23736,47,23736,10,45744,,45744,4,45744,20,45744,1in10,45744,77,73866,42,73866,71,73866,41,73866,65,73866,28,73866,33,73866,25,73866,63,73866,57,73866,83,73866,57,73866,none,6060
8/10/21,20:08:38,2,REMOVED,1,6.4.2,55,11035,Female,11035,African-American,11035,Master's Degree,11035,Yes,11035,Somewhat liberal,13695,Democrat,13695,1,52054,1,52054,7,52054,5,52054,2,52054,3,52054,1,46256,5,46256,18,46256,1,97078,doctor,97078,4,97078,20,97078,1in10,97078,33,50711,52,50711,34,50711,62,50711,58,50711,0,50711,100,50711,70,50711,52,50711,59,50711,64,50711,19,50711,,339
8/10/21,20:10:29,4,REMOVED,1,6.4.2,31,12664,Male,12664,Caucasian,12664,Master's Degree,12664,Yes,12664,Closer to liberals,8492,Democrat,8492,6,28054,6,28054,2,28054,2,28054,6,28054,6,28054,5cents,60929,5min,60929,47,60929,cantenterdecimalspoint1percent,207761,same,207761,64,207761,20,207761,10,207761,86,56076,37,56076,61,56076,65,56076,57,56076,23,56076,67,56076,36,56076,78,56076,77,56076,76,56076,39,56076,impossible to enter spaces or decimals in the statistics section.,31334
8/10/21,20:22:56,1,REMOVED,1,6.4.2,29,10357,Female,10357,Asian,10357,Bachelor's Degree,10357,Yes,10357,Somewhat liberal,4663,Democrat,4663,5,49731,7,49731,2,49731,4,49731,7,49731,6,49731,10cents,156217,5minutes,156217,47days,156217,0point1percent,282867,theperson,282867,64percent,282867,20,282867,1in10,282867,39,47086,25,47086,96,47086,44,47086,64,47086,43,47086,81,47086,79,47086,75,47086,89,47086,83,47086,59,47086,"When I was answering those survey question, I couldn't put a decimal/percent sign or add any spaces so my answers will look weird.",96363
8/10/21,21:50:04,1,REMOVED,1,6.4.2,62,19688,Female,19688,Caucasian,19688,Associate's Degree,19688,Yes,19688,Somewhat conservative,7612,Democrat,7612,5,26067,6,26067,2,26067,7,26067,6,26067,7,26067,10CENTS,136549,100MINUTES,136549,12,136549,1,213963,person,213963,64,213963,5,213963,1in10,213963,100,57835,66,57835,68,57835,50,57835,66,57835,100,57835,100,57835,100,57835,100,57835,100,57835,100,57835,100,57835,,11232
8/10/21,19:20:14,4,REMOVED,1,6.4.2,32,9929,Female,9929,Caucasian,9929,Bachelor's Degree,9929,Yes,9929,Very liberal,4736,Democrat,4736,4,35040,5,35040,2,35040,2,35040,7,35040,5,35040,10,73615,100,73615,24,73615,point1percent,211387,atriskpopulation,211387,64,211387,20,211387,1in10,211387,85,56547,42,56547,30,56547,32,56547,85,56547,0,56547,50,56547,50,56547,59,56547,68,56547,50,56547,29,56547,The input boxes on the freeform questions do not allow for special characters which is limiting when asking for percentages that might contain decimal points. ,38147
8/10/21,19:30:23,2,REMOVED,1,6.4.1,48,14551,Female,14551,,14551,,14551,,14551,Somewhat liberal,33273,Democrat,33273,4,22354,,22354,,22354,,22354,,22354,,22354,10cents,112093,1minute,112093,24days,112093,1percent,191735,Theperson,191735,64percent,191735,,191735,,191735,50,84681,27,84681,50,84681,50,84681,77,84681,50,84681,51,84681,50,84681,50,84681,38,84681,50,84681,50,84681,,12317
8/11/21,0:19:10,4,REMOVED,1,6.4.2,20,16887,Male,16887,Asian,16887,High School,16887,Yes,16887,Closer to conservatives,7168,Independent,7168,7,33787,7,33787,1,33787,1,33787,7,33787,4,33787,5cents,126458,1minute,126458,47days,126458,10,154464,none,154464,64,154464,20,154464,1in10,154464,54,74735,59,74735,8,74735,40,74735,5,74735,0,74735,70,74735,66,74735,57,74735,51,74735,84,74735,16,74735,,6518
8/11/21,0:38:44,3,REMOVED,1,6.4.2,48,15377,Female,15377,Caucasian,15377,Associate's Degree,15377,Yes,15377,Closer to liberals,8270,Independent,8270,6,27011,6,27011,2,27011,2,27011,6,27011,6,27011,10cents,102885,100,102885,47,102885,1percent,157649,randomperson,157649,64,157649,20,157649,1in10,157649,50,44111,68,44111,76,44111,50,44111,71,44111,71,44111,47,44111,50,44111,61,44111,61,44111,50,44111,59,44111,,3015
8/10/21,22:48:21,2,REMOVED,1,6.4.2,38,18209,Female,18209,Hispanic,18209,Associate's Degree,18209,Yes,18209,Somewhat liberal,8546,Democrat,8546,2,32274,5,32274,3,32274,5,32274,6,32274,5,32274,10,194464,20,194464,24,194464,point01,246101,person,246101,128,246101,20,246101,1in10,246101,9,18363,22,18363,100,18363,30,18363,50,18363,50,18363,50,18363,50,18363,50,18363,50,18363,50,18363,28,18363,The point or period key did not work in the survey,34212
8/11/21,8:37:00,2,REMOVED,1,6.4.2,21,17451,Female,17451,Caucasian,17451,High School,17451,Yes,17451,Very liberal,5037,Democrat,5037,3,36606,4,36606,2,36606,5,36606,3,36606,3,36606,5cents,31403,5minutes,31403,47,31403,point001,122161,person,122161,64,122161,20,122161,1in10,122161,93,55886,8,55886,30,55886,42,55886,93,55886,40,55886,38,55886,26,55886,81,55886,39,55886,50,55886,19,55886,This study was falsely advertised. It took much longer than expected.,21139
8/11/21,10:39:21,2,REMOVED,1,6.4.2,26,13759,Female,13759,Caucasian,13759,Master's Degree,13759,Yes,13759,Somewhat liberal,9828,Democrat,9828,6,27931,6,27931,3,27931,6,27931,6,27931,6,27931,10,36564,100,36564,24,36564,1,140663,Person,140663,64,140663,20,140663,10,140663,100,45029,55,45029,30,45029,0,45029,97,45029,63,45029,0,45029,0,45029,63,45029,57,45029,32,45029,0,45029,,5485
8/11/21,11:19:16,2,REMOVED,1,6.4.1,,19910,,19910,,19910,,19910,,19910,Neither liberal nor conservative,11408,Democrat,11408,6,30614,,30614,6,30614,,30614,,30614,5,30614,,67041,,67041,24,67041,,10771,,10771,,10771,,10771,,10771,50,9998,50,9998,50,9998,50,9998,50,9998,50,9998,50,9998,50,9998,50,9998,50,9998,50,9998,39,9998,This survey has broken content.  I couldnt click into the boxes to type/anawer the questions.  The words all over lapped each other so i couldnt read the questions.,88715
8/11/21,12:16:53,3,REMOVED,1,6.4.2,55,15724,Female,15724,Caucasian,15724,High School,15724,Yes,15724,Somewhat liberal,8524,Democrat,8524,3,30315,3,30315,3,30315,3,30315,3,30315,3,30315,10cents,78487,100mins,78487,24,78487,1000,104577,doctor,104577,64,104577,20,104577,10,104577,42,59290,43,59290,36,59290,40,59290,40,59290,43,59290,39,59290,50,59290,36,59290,37,59290,36,59290,39,59290,,5847
8/11/21,12:58:50,4,REMOVED,1,6.4.2,26,13933,Female,13933,Caucasian,13933,Bachelor's Degree,13933,Yes,13933,Very liberal,12780,Democrat,12780,7,46363,6,46363,1,46363,1,46363,7,46363,7,46363,10cents,100868,100minutes,100868,24days,100868,1,215283,randomperson,215283,64,215283,20,215283,1in10,215283,100,87717,59,87717,20,87717,53,87717,100,87717,41,87717,84,87717,69,87717,82,87717,69,87717,100,87717,37,87717,,8260
8/11/21,12:09:46,1,REMOVED,1,6.4.2,27,9648,Female,9648,Caucasian,9648,Master's Degree,9648,Yes,9648,Very liberal,4061,Democrat,4061,7,13182,7,13182,1,13182,1,13182,7,13182,7,13182,10,10448,100,10448,24,10448,1,90743,20,90743,24,90743,20,90743,1in10,90743,92,43367,12,43367,32,43367,0,43367,100,43367,0,43367,11,43367,11,43367,46,43367,23,43367,51,43367,52,43367,"Honestly, I read the instructions and still have no clue what that task was. I ended up pressing buttons mostly randomly. I think the numbers scrolling across the screen represented fact-checking scores, where 100 would be ""true"" and 0 would be ""false"" and the numbers were either in blue (Democrat) or red (Republican). And I believe I was supposed to use the scrolling numbers to guess which candidate was more truthful. But the numbers kept scrolling and it felt SO random and when I was clicking I could not establish a clear pattern at all. Perhaps that was the point (although I highly doubt it) but I wanted to let you know because if this task was actually real with a salient manipulation, I completely missed it. Thanks! ",200892
8/11/21,14:57:58,3,REMOVED,1,6.4.2,64,24247,Female,24247,Caucasian,24247,Bachelor's Degree,24247,Yes,24247,Somewhat liberal,20561,Democrat,20561,4,99289,5,99289,2,99289,2,99289,5,99289,6,99289,10,109816,100,109816,24,109816,1,339125,person,339125,64,339125,20,339125,10,339125,88,88666,24,88666,35,88666,5,88666,57,88666,0,88666,47,88666,47,88666,47,88666,40,88666,47,88666,50,88666,,42737
8/11/21,15:36:17,4,REMOVED,1,6.4.2,18,19331,Female,19331,Caucasian,19331,High School,19331,Yes,19331,Very liberal,6888,Democrat,6888,3,38022,3,38022,5,38022,5,38022,4,38022,3,38022,5cents,55841,5minutes,55841,4,55841,000point1percentchance,98759,doctor,98759,128,98759,20,98759,1in10,98759,91,52133,17,52133,9,52133,15,52133,77,52133,7,52133,50,52133,3,52133,61,52133,56,52133,56,52133,17,52133,,3607
8/11/21,16:37:28,1,REMOVED,1,6.4.1,54,11422,,11422,,11422,,11422,,11422,Closer to liberals,17427,Democrat,17427,1,43306,1,43306,1,43306,2,43306,2,43306,,43306,10,200799,1,200799,24,200799,1,45454,,45454,,45454,,45454,,45454,50,21084,50,21084,50,21084,50,21084,50,21084,50,21084,50,21084,50,21084,50,21084,50,21084,50,21084,50,21084,,15881
8/11/21,20:05:51,3,REMOVED,1,6.4.2,48,19896,Female,19896,Caucasian,19896,Bachelor's Degree,19896,Yes,19896,Very liberal,6668,Democrat,6668,5,52638,5,52638,3,52638,2,52638,4,52638,7,52638,10cents,56256,100,56256,24,56256,point001,184174,atrisk,184174,64,184174,20,184174,1in10,184174,79,55325,21,55325,24,55325,29,55325,87,55325,1,55325,59,55325,21,55325,69,55325,23,55325,74,55325,0,55325,I had trouble with the math questions because I could not use symbols or periods.,28453
8/11/21,20:31:31,3,REMOVED,1,6.4.2,38,11524,Male,11524,African-American,11524,Associate's Degree,11524,Yes,11524,Somewhat liberal,7162,Democrat,7162,5,23342,7,23342,2,23342,6,23342,5,23342,7,23342,10cent,121754,5minutes,121754,24days,121754,1percent,216071,thedoctor,216071,128percent,216071,80,216071,1in10,216071,21,39744,76,39744,70,39744,58,39744,65,39744,41,39744,65,39744,57,39744,63,39744,35,39744,36,39744,71,39744,,8506
8/12/21,0:17:37,4,REMOVED,1,6.4.2,48,20819,Nonbinary,20819,Caucasian,20819,Bachelor's Degree,20819,Yes,20819,Very liberal,6562,Democrat,6562,6,34265,6,34265,1,34265,6,34265,7,34265,7,34265,5,52248,5,52248,47,52248,1,188568,personintheatriskpopulation,188568,32,188568,5,188568,1in10,188568,86,64069,31,64069,9,64069,4,64069,89,64069,39,64069,57,64069,0,64069,82,64069,29,64069,84,64069,66,64069,,8670
8/12/21,3:56:44,4,REMOVED,1,6.4.2,18,15623,Female,15623,African-American,15623,High School,15623,Yes,15623,Somewhat liberal,15151,Democrat,15151,5,47217,7,47217,2,47217,1,47217,7,47217,7,47217,10,112658,100,112658,24,112658,10,418484,randomperson,418484,64,418484,20,418484,1in10,418484,91,90457,62,90457,27,90457,32,90457,80,90457,18,90457,50,90457,26,90457,51,90457,64,90457,88,90457,5,90457,,6931
8/12/21,11:33:07,3,REMOVED,1,6.4.1,40,23450,Female,23450,Caucasian,23450,MBA/JD,23450,Yes,23450,Very conservative,8041,Republican,8041,7,19295,6,19295,7,19295,5,19295,6,19295,7,19295,5,21854,5,21854,47,21854,99,66723,500,66723,5,66723,5,66723,10000,66723,84,55024,71,55024,82,55024,84,55024,76,55024,84,55024,74,55024,70,55024,83,55024,86,55024,71,55024,82,55024,good,7329
8/12/21,11:35:16,4,REMOVED,1,6.4.1,34,23282,Female,23282,Caucasian,23282,Bachelor's Degree,23282,Yes,23282,Somewhat conservative,8814,Republican,8814,5,29599,5,29599,2,29599,2,29599,4,29599,3,29599,10,30503,100,30503,24,30503,1,132148,20,132148,128,132148,20,132148,10,132148,74,43315,82,43315,23,43315,20,43315,0,43315,81,43315,97,43315,86,43315,59,43315,64,43315,90,43315,85,43315,,2414
8/12/21,10:52:36,1,REMOVED,1,6.4.1,39,14709,Male,14709,Caucasian,14709,Bachelor's Degree,14709,Yes,14709,Very conservative,9213,Republican,9213,6,16798,4,16798,5,16798,5,16798,5,16798,5,16798,10,11037,5,11037,24,11037,100,36599,80,36599,8,36599,80,36599,100,36599,68,53509,74,53509,62,53509,63,53509,66,53509,44,53509,59,53509,0,53509,51,53509,68,53509,52,53509,74,53509,,9686
8/12/21,11:04:54,4,REMOVED,1,6.4.1,41,15754,Male,15754,Caucasian,15754,Master's Degree,15754,Yes,15754,Very liberal,5892,Republican,5892,5,21842,6,21842,5,21842,7,21842,6,21842,7,21842,10,20826,100,20826,24,20826,100,65424,50,65424,4,65424,80,65424,1000,65424,76,42243,87,42243,72,42243,86,42243,84,42243,77,42243,79,42243,89,42243,77,42243,88,42243,77,42243,89,42243,Good,15604
8/12/21,11:01:10,3,REMOVED,1,6.4.2,27,57384,Male,57384,Hispanic,57384,Associate's Degree,57384,Yes,57384,Somewhat conservative,6428,Republican,6428,4,49637,6,49637,4,49637,6,49637,6,49637,6,49637,10cents,68457,100minutes,68457,47,68457,005percent,159860,regularperson,159860,64,159860,20,159860,1in10,159860,78,60294,50,60294,71,60294,82,60294,50,60294,34,60294,50,60294,65,60294,53,60294,54,60294,59,60294,74,60294,,8788
