date,time,group,subject,session,build,AGE_response,AGE_latency,Gender_response,Gender_latency,Ethnicity_response,Ethnicity_latency,Education_response,Education_latency,English_response,English_latency,PolAff1_response,PolAff1_latency,PolAff2_response,PolAff2_latency,NCS1_response,NCS1_latency,NCS2_response,NCS2_latency,NCS3_response,NCS3_latency,NCS4_response,NCS4_latency,NCS5_response,NCS5_latency,NCS6_response,NCS6_latency,CRT1_response,CRT1_latency,CRT2_response,CRT2_latency,CRT3_response,CRT3_latency,BDM1_30_response,BDM1_30_latency,BDM2_50_response,BDM2_50_latency,BDM3_70_response,BDM3_70_latency,BDM4_80_response,BDM4_80_latency,BDM5_90_response,BDM5_90_latency,SCES1_S_response,SCES1_S_latency,SCES2_E_response,SCES2_E_latency,SCES3_S_response,SCES3_S_latency,SCES4_S_response,SCES4_S_latency,SCES5_E_response,SCES5_E_latency,SCES6_E_response,SCES6_E_latency,SCES7_S_response,SCES7_S_latency,SCES8_S_response,SCES8_S_latency,SCES9_E_response,SCES9_E_latency,SCES10_E_response,SCES10_E_latency,SCES11_S_response,SCES11_S_latency,SCES12_S_response,SCES12_S_latency,Last_1_response,Last_1_latency
8/12/21,11:07:40,1,REMOVED,1,6.4.2,27,18319,Female,18319,Hispanic,18319,Associate's Degree,18319,Yes,18319,Neither liberal nor conservative,7897,Other,7897,2,42371,4,42371,2,42371,5,42371,5,42371,6,42371,10cents,104854,100minutes,104854,24days,104854,1,215163,Person,215163,64,215163,20,215163,1in10,215163,51,66765,27,66765,63,66765,73,66765,33,66765,23,66765,70,66765,76,66765,50,66765,65,66765,75,66765,63,66765,No comments about survey.,61500
8/12/21,13:07:15,3,REMOVED,1,6.4.2,40,11725,Male,11725,Asian,11725,Bachelor's Degree,11725,Yes,11725,Closer to conservatives,5325,Republican,5325,4,11651,4,11651,5,11651,5,11651,5,11651,4,11651,10,42521,100,42521,24,42521,1,120449,person,120449,10percent,120449,20percent,120449,1in10,120449,36,56508,79,56508,64,56508,62,56508,62,56508,53,56508,68,56508,66,56508,64,56508,71,56508,73,56508,78,56508,,3317
8/12/21,13:16:45,2,REMOVED,1,6.4.2,36,13597,Female,13597,Caucasian,13597,Master's Degree,13597,Yes,13597,Somewhat conservative,8065,Republican,8065,2,19637,2,19637,6,19637,5,19637,4,19637,3,19637,10cents,80334,100mins,80334,24,80334,1,106653,20,106653,64,106653,20,106653,1in10,106653,5,26563,73,26563,71,26563,50,26563,50,26563,50,26563,50,26563,50,26563,68,26563,70,26563,78,26563,76,26563,,4452
8/12/21,12:38:20,4,REMOVED,1,6.4.1,41,22482,Male,22482,Caucasian,22482,Master's Degree,22482,Yes,22482,Very conservative,20153,Republican,20153,3,45450,5,45450,4,45450,6,45450,7,45450,5,45450,10,23517,100,23517,36,23517,10,224006,90,224006,20,224006,2,224006,10,224006,8,68744,78,68744,92,68744,98,68744,93,68744,98,68744,84,68744,89,68744,91,68744,92,68744,88,68744,82,68744,Good experience for this survey.,35710
8/12/21,13:56:28,1,REMOVED,1,6.4.2,40,16620,Male,16620,Caucasian,16620,Bachelor's Degree,16620,Yes,16620,Somewhat conservative,4776,Republican,4776,6,20333,7,20333,2,20333,5,20333,6,20333,6,20333,10,9667,5,9667,24,9667,10,53335,1,53335,6,53335,20,53335,1in10,53335,37,43984,38,43984,98,43984,91,43984,28,43984,67,43984,94,43984,70,43984,89,43984,65,43984,83,43984,28,43984,,6052
8/12/21,13:52:23,2,REMOVED,1,6.4.2,21,14523,Female,14523,Caucasian,14523,High School,14523,Yes,14523,Very liberal,5650,Independent,5650,2,38274,2,38274,5,38274,4,38274,4,38274,3,38274,10cents,52820,100minutes,52820,24days,52820,1,157864,atriskpopulation,157864,64,157864,20,157864,1in10,157864,96,35664,90,35664,47,35664,50,35664,94,35664,42,35664,34,35664,22,35664,50,35664,67,35664,50,35664,4,35664,,3269
8/12/21,13:27:04,1,REMOVED,1,6.4.2,46,17482,Male,17482,Hispanic,17482,MBA/JD,17482,Yes,17482,Somewhat conservative,12958,Republican,12958,6,40803,7,40803,2,40803,2,40803,7,40803,6,40803,5cents,120508,5minutes,120508,47days,120508,onetenthofonepercent,235984,thenondoctor,235984,64percentchance,235984,20,235984,1in10,235984,1,109030,92,109030,89,109030,93,109030,56,109030,70,109030,77,109030,71,109030,80,109030,86,109030,92,109030,70,109030,"The probability questions were not easy to answer because decimal points were not permitted. Also, the debriefing was not shown. There might be some technical issues with your survey.",68583
8/12/21,15:00:17,2,REMOVED,1,6.4.2,30,10754,Female,10754,Caucasian,10754,High School,10754,Yes,10754,Somewhat conservative,6457,Republican,6457,5,30127,4,30127,3,30127,3,30127,5,30127,5,30127,10,37863,100,37863,47,37863,1,157762,person,157762,64,157762,20,157762,1in10,157762,6,51305,64,51305,67,51305,16,51305,4,51305,93,51305,96,51305,94,51305,83,51305,88,51305,100,51305,99,51305,"The instructions need to be a bit clearer, I found the task with the red and blue numbers rather confusing (even after reading the instruction and completing the practice trials).",42906
8/12/21,15:19:36,4,REMOVED,1,6.4.2,28,8684,Female,8684,Caucasian,8684,Master's Degree,8684,Yes,8684,Closer to conservatives,6261,Republican,6261,6,12299,6,12299,2,12299,5,12299,6,12299,6,12299,0,58886,100,58886,47,58886,1,105761,randomperson,105761,64,105761,20,105761,1in10,105761,75,38905,76,38905,49,38905,47,38905,19,38905,65,38905,50,38905,66,38905,78,38905,63,38905,82,38905,69,38905,,3032
8/12/21,14:18:35,1,REMOVED,1,6.4.1,46,13593,Female,13593,African-American,13593,Bachelor's Degree,13593,Yes,13593,Neither liberal nor conservative,7279,Democrat,7279,6,30705,7,30705,1,30705,1,30705,7,30705,7,30705,10,82334,1minute,82334,24,82334,1,315714,Doctor,315714,64,315714,20,315714,1in10,315714,51,55867,64,55867,80,55867,93,55867,50,55867,50,55867,50,55867,50,55867,94,55867,51,55867,93,55867,86,55867,,17624
8/12/21,12:42:41,3,REMOVED,1,6.4.2,43,9807,Female,9807,Caucasian,9807,Associate's Degree,9807,Yes,9807,Closer to conservatives,6478,Republican,6478,2,28131,2,28131,5,28131,5,28131,4,28131,2,28131,10,58790,100,58790,24,58790,10,124478,person,124478,64,124478,20,124478,1in100,124478,21,52199,76,52199,84,52199,53,52199,41,52199,64,52199,68,52199,71,52199,88,52199,57,52199,81,52199,56,52199,,4463
8/12/21,13:04:04,4,REMOVED,1,6.4.1,35,11231,Male,11231,Caucasian,11231,Associate's Degree,11231,Yes,11231,Very conservative,3464,Republican,3464,5,13010,6,13010,6,13010,6,13010,,13010,,13010,10,53206,100,53206,47,53206,1,82641,Atrisk,82641,64,82641,20,82641,10,82641,0,61610,77,61610,28,61610,89,61610,3,61610,95,61610,94,61610,94,61610,100,61610,50,61610,94,61610,93,61610,,2624
8/12/21,15:47:03,4,REMOVED,1,6.4.2,27,20512,Female,20512,Caucasian,20512,High School,20512,Yes,20512,Somewhat conservative,15289,Republican,15289,5,61884,5,61884,6,61884,5,61884,6,61884,6,61884,10,88820,100,88820,24,88820,1,296343,person,296343,64,296343,20,296343,1in10,296343,0,123108,84,123108,100,123108,100,123108,44,123108,89,123108,100,123108,100,123108,46,123108,62,123108,100,123108,95,123108,,10266
8/12/21,15:06:39,3,REMOVED,1,6.4.2,61,13028,Female,13028,Caucasian,13028,Bachelor's Degree,13028,Yes,13028,Somewhat conservative,10345,Republican,10345,4,57926,4,57926,4,57926,4,57926,5,57926,4,57926,10,229885,100,229885,12,229885,1,232350,person,232350,64,232350,20,232350,1in10,232350,66,49780,69,49780,69,49780,71,49780,30,49780,50,49780,63,49780,64,49780,82,49780,45,49780,86,49780,62,49780,,11403
8/12/21,16:00:26,4,REMOVED,1,6.4.1,41,25958,Male,25958,Asian,25958,Associate's Degree,25958,Yes,25958,Closer to conservatives,20061,Republican,20061,5,18384,5,18384,3,18384,3,18384,6,18384,5,18384,10,36126,10,36126,24,36126,1,188507,person,188507,64,188507,20,188507,1in10,188507,40,39607,50,39607,61,39607,85,39607,35,39607,82,39607,72,39607,69,39607,60,39607,73,39607,74,39607,84,39607,,4628
8/12/21,16:31:54,3,REMOVED,1,6.4.2,23,9615,Female,9615,Caucasian,9615,Bachelor's Degree,9615,Yes,9615,Very liberal,4913,Democrat,4913,5,17233,6,17233,2,17233,2,17233,6,17233,6,17233,5,63497,5,63497,47,63497,1,169534,person,169534,64,169534,20,169534,1in10,169534,83,40642,49,40642,53,40642,39,40642,64,40642,44,40642,29,40642,27,40642,84,40642,76,40642,42,40642,63,40642,,8856
8/12/21,16:33:48,3,REMOVED,1,6.4.1,56,18780,Female,18780,Caucasian,18780,,18780,,18780,Closer to conservatives,11962,Republican,11962,1,62134,7,62134,7,62134,,62134,3,62134,3,62134,5,176351,5,176351,47,176351,1,181821,people,181821,64,181821,20,181821,1in10,181821,0,70154,90,70154,90,70154,50,70154,50,70154,50,70154,50,70154,50,70154,100,70154,50,70154,100,70154,95,70154,,9512
8/12/21,18:05:37,4,REMOVED,1,6.4.1,34,54770,Female,54770,Caucasian,54770,Bachelor's Degree,54770,Yes,54770,Somewhat liberal,14174,Democrat,14174,5,58779,5,58779,2,58779,3,58779,5,58779,5,58779,10cents,70915,100minutes,70915,24days,70915,1,167143,atrisk,167143,64,167143,20,167143,1in10,167143,44,69076,51,69076,68,69076,90,69076,71,69076,31,69076,86,69076,86,69076,61,69076,69,69076,86,69076,61,69076,,8604
8/12/21,18:09:22,1,REMOVED,1,6.4.2,59,12957,Female,12957,Caucasian,12957,Master's Degree,12957,Yes,12957,Somewhat conservative,8841,Republican,8841,4,45083,4,45083,3,45083,3,45083,5,45083,3,45083,10,105396,5minutes,105396,8,105396,1,227055,thepersonintheatriskpopulationnotthedoctor,227055,100percent,227055,20,227055,1in10,227055,0,87620,77,87620,93,87620,100,87620,24,87620,33,87620,100,87620,100,87620,87,87620,100,87620,100,87620,100,87620,"I'm not sure I understood the goal of this test! I understood the red represented the republicans and the blue represented the democrats, but how were we to evaluate the factual scores beyond their color and party?",83376
8/12/21,18:28:15,3,REMOVED,1,6.4.2,22,9137,Male,9137,African-American,9137,Bachelor's Degree,9137,Yes,9137,Closer to liberals,3484,Democrat,3484,3,30768,4,30768,1,30768,4,30768,5,30768,4,30768,105,87197,5mins,87197,47,87197,0001percent,103882,randomlyselectedperson,103882,64,103882,20,103882,1in10,103882,100,28449,32,28449,66,28449,94,28449,100,28449,39,28449,28,28449,34,28449,86,28449,82,28449,86,28449,76,28449,,5371
8/12/21,16:18:57,4,REMOVED,1,6.4.2,29,9352,Male,9352,Hispanic,9352,Bachelor's Degree,9352,Yes,9352,Very liberal,3975,Democrat,3975,6,16356,6,16356,2,16356,2,16356,6,16356,6,16356,5cents,230432,5,230432,47,230432,10,38813,4,38813,4,38813,4,38813,4,38813,78,44893,42,44893,62,44893,50,44893,76,44893,48,44893,50,44893,50,44893,0,44893,17,44893,50,44893,50,44893,,2658
8/12/21,20:10:37,3,REMOVED,1,6.4.2,25,24550,Female,24550,Caucasian,24550,Master's Degree,24550,Yes,24550,Closer to conservatives,6838,Republican,6838,2,62859,4,62859,5,62859,5,62859,5,62859,5,62859,10cents,90931,100,90931,24,90931,1,279904,doctor,279904,64,279904,20,279904,1in10,279904,0,32049,52,32049,50,32049,100,32049,50,32049,50,32049,76,32049,76,32049,50,32049,50,32049,82,32049,67,32049,n/a,6918
8/12/21,20:24:39,4,REMOVED,1,6.4.2,26,10053,Male,10053,African-American,10053,Associate's Degree,10053,Yes,10053,Closer to liberals,7771,Democrat,7771,1,51923,1,51923,7,51923,7,51923,1,51923,1,51923,10,39579,100,39579,47,39579,1,88041,doctor,88041,8,88041,20,88041,1in10,88041,50,15844,50,15844,50,15844,50,15844,50,15844,50,15844,50,15844,50,15844,50,15844,50,15844,50,15844,50,15844,,10375
8/12/21,23:57:33,3,REMOVED,1,6.4.1,22,22436,Male,22436,Caucasian,22436,High School,22436,Yes,22436,Neither liberal nor conservative,4501,Independent,4501,3,40993,6,40993,1,40993,1,40993,6,40993,6,40993,10cents,60950,5minutes,60950,24days,60950,1,146320,generalPopulation,146320,64,146320,20,146320,1in10,146320,84,38863,92,38863,100,38863,8,38863,0,38863,73,38863,14,38863,87,38863,83,38863,91,38863,5,38863,100,38863,No comment,10784
8/13/21,4:34:33,2,REMOVED,1,6.4.2,27,17343,Female,17343,Hispanic,17343,High School,17343,Yes,17343,Closer to conservatives,7335,Republican,7335,7,28222,7,28222,1,28222,7,28222,7,28222,7,28222,05cents,38733,5minutes,38733,24,38733,1percent,385274,atrisk,385274,64percent,385274,5percent,385274,1in10,385274,9,47669,0,47669,87,47669,100,47669,51,47669,89,47669,93,47669,93,47669,51,47669,51,47669,77,47669,76,47669,thanks for allowing me to participate! I really enjoyed it.,15221
8/13/21,6:11:36,4,REMOVED,1,6.4.2,20,9650,Male,9650,Caucasian,9650,Associate's Degree,9650,Yes,9650,Closer to conservatives,5882,Republican,5882,5,22503,5,22503,2,22503,3,22503,6,22503,5,22503,10cents,60230,1,60230,48,60230,10,115051,person,115051,12,115051,20,115051,1in10,115051,24,40617,44,40617,100,40617,100,40617,55,40617,100,40617,65,40617,58,40617,50,40617,100,40617,66,40617,85,40617,"Great survey, thanks!",17522
8/13/21,7:06:11,3,REMOVED,1,6.4.2,57,21309,Female,21309,Caucasian,21309,High School,21309,Yes,21309,Somewhat conservative,13203,Republican,13203,5,90333,5,90333,3,90333,4,90333,6,90333,4,90333,10,316311,500,316311,24,316311,1,340718,,340718,,340718,,340718,,340718,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/21,10:10:23,2,REMOVED,1,6.4.2,31,13697,Female,13697,Hispanic,13697,Master's Degree,13697,Yes,13697,Closer to liberals,7528,Democrat,7528,5,31862,5,31862,3,31862,2,31862,6,31862,7,31862,5,29680,5,29680,47,29680,1,87276,99,87276,64,87276,20,87276,1in10,87276,99,42528,44,42528,56,42528,5,42528,68,42528,29,42528,42,42528,18,42528,66,42528,67,42528,57,42528,39,42528,"No,nothing.",40518
8/13/21,8:51:58,1,REMOVED,1,6.4.2,49,11130,Female,11130,Other,11130,Bachelor's Degree,11130,Yes,11130,Neither liberal nor conservative,5807,Other,5807,6,63215,5,63215,5,63215,3,63215,4,63215,5,63215,10cents,88095,5minutes,88095,24,88095,1hundredth,180660,theperson,180660,64,180660,20,180660,1in10,180660,50,52184,63,52184,65,52184,65,52184,64,52184,70,52184,64,52184,72,52184,68,52184,62,52184,62,52184,56,52184,,4560
8/13/21,14:49:34,1,REMOVED,1,6.4.2,48,14299,Female,14299,Caucasian,14299,Bachelor's Degree,14299,Yes,14299,Somewhat conservative,10351,Republican,10351,3,57388,6,57388,5,57388,4,57388,5,57388,3,57388,10cents,155215,100min,155215,24,155215,lessthan1percent,280964,atriskperson,280964,64percent,280964,20,280964,1in10,280964,1,83546,81,83546,89,83546,83,83546,15,83546,31,83546,88,83546,81,83546,93,83546,50,83546,92,83546,78,83546,No comments.,15533
8/13/21,15:39:17,2,REMOVED,1,6.4.2,35,15107,Male,15107,African-American,15107,Bachelor's Degree,15107,Yes,15107,Somewhat conservative,13618,Libertarian,13618,5,29748,5,29748,2,29748,2,29748,6,29748,6,29748,5,74287,5,74287,47,74287,1tenth,165890,atrisk,165890,64,165890,20,165890,1in10,165890,0,63500,86,63500,81,63500,41,63500,48,63500,89,63500,68,63500,46,63500,100,63500,77,63500,100,63500,90,63500,,5259
8/13/21,18:32:15,3,REMOVED,1,6.4.2,23,15531,Male,15531,Hispanic,15531,High School,15531,Yes,15531,Neither liberal nor conservative,6492,Independent,6492,4,21387,5,21387,2,21387,2,21387,6,21387,6,21387,5,107287,5,107287,24,107287,1,171916,Person,171916,64,171916,20,171916,1in10,171916,63,58872,62,58872,100,58872,52,58872,25,58872,67,58872,50,58872,50,58872,70,58872,31,58872,41,58872,60,58872,,5559
8/13/21,19:02:48,2,REMOVED,1,6.4.2,52,18390,Female,18390,Caucasian,18390,Master's Degree,18390,Yes,18390,Very liberal,17727,Democrat,17727,3,50163,5,50163,2,50163,3,50163,4,50163,5,50163,10,76428,100,76428,12,76428,1,121806,person,121806,32,121806,20,121806,1in10,121806,58,57422,0,57422,18,57422,0,57422,72,57422,0,57422,25,57422,10,57422,54,57422,25,57422,68,57422,22,57422,,6232
8/13/21,19:36:29,2,REMOVED,1,6.4.2,42,15101,Prefer not to say,15101,Caucasian,15101,Master's Degree,15101,Yes,15101,Very conservative,7173,Republican,7173,5,38199,6,38199,2,38199,3,38199,6,38199,5,38199,5,68134,5minutes,68134,47,68134,1,155394,Thesame,155394,64,155394,20,155394,1in10,155394,0,33483,100,33483,100,33483,100,33483,35,33483,100,33483,100,33483,100,33483,100,33483,70,33483,100,33483,70,33483,The software didn't allow decimal places in the answers.,18307
8/13/21,21:12:28,4,REMOVED,1,6.4.1,40,16256,Male,16256,Caucasian,16256,High School,16256,,16256,Closer to conservatives,6706,Republican,6706,6,28434,6,28434,3,28434,3,28434,,28434,,28434,5,87488,5,87488,47,87488,1,151024,Patient,151024,64,151024,20,151024,100,151024,67,23882,33,23882,98,23882,50,23882,50,23882,50,23882,50,23882,50,23882,50,23882,50,23882,50,23882,50,23882,none,21494
8/13/21,23:42:57,3,REMOVED,1,6.4.2,28,12616,Male,12616,Asian,12616,Bachelor's Degree,12616,Yes,12616,Somewhat liberal,6321,Democrat,6321,5,18305,5,18305,2,18305,5,18305,6,18305,5,18305,105,19571,5,19571,47,19571,1,297398,person,297398,64,297398,20,297398,1in10,297398,100,34923,38,34923,76,34923,28,34923,90,34923,0,34923,34,34923,22,34923,94,34923,89,34923,95,34923,96,34923,NO,9529
8/14/21,1:45:36,3,REMOVED,1,6.4.2,20,11262,Nonbinary,11262,African-American,11262,Primary School,11262,Yes,11262,Very liberal,5164,Democrat,5164,1,11004,1,11004,1,11004,1,11004,1,11004,1,11004,2,90471,100,90471,48,90471,1000,89720,50,89720,20,89720,20,89720,10,89720,100,38650,100,38650,0,38650,0,38650,100,38650,0,38650,0,38650,0,38650,0,38650,0,38650,0,38650,0,38650,,4713
8/14/21,9:33:45,2,REMOVED,1,6.4.2,35,11518,Male,11518,Caucasian,11518,Bachelor's Degree,11518,Yes,11518,Very liberal,4061,Democrat,4061,6,21939,7,21939,2,21939,3,21939,6,21939,7,21939,10,31406,5,31406,47,31406,1,101084,person,101084,100,101084,20,101084,1in100,101084,62,51660,33,51660,12,51660,5,51660,73,51660,42,51660,45,51660,14,51660,20,51660,14,51660,48,51660,21,51660,,5645
8/14/21,14:23:44,2,REMOVED,1,6.4.2,26,9309,Female,9309,Caucasian,9309,Bachelor's Degree,9309,Yes,9309,Closer to conservatives,4354,Republican,4354,3,18255,3,18255,2,18255,5,18255,3,18255,4,18255,210,54384,1minute,54384,47,54384,1,54411,random,54411,64,54411,20,54411,1in100,54411,0,21230,100,21230,75,21230,100,21230,23,21230,50,21230,50,21230,50,21230,50,21230,50,21230,50,21230,50,21230,,2534
8/14/21,15:07:16,4,REMOVED,1,6.4.1,53,15108,Female,15108,Caucasian,15108,Master's Degree,15108,,15108,Closer to conservatives,14965,Democrat,14965,5,44151,5,44151,1,44151,1,44151,5,44151,5,44151,5cents,418549,1min,418549,47days,418549,1,213522,personatrisk,213522,64,213522,20,213522,1in10,213522,32,78178,79,78178,100,78178,100,78178,39,78178,84,78178,84,78178,83,78178,95,78178,69,78178,82,78178,91,78178,,7344
8/14/21,16:49:45,2,REMOVED,1,6.4.2,32,12065,Male,12065,African-American,12065,Master's Degree,12065,Yes,12065,Very liberal,5095,Democrat,5095,6,43860,5,43860,4,43860,7,43860,6,43860,5,43860,10,34482,100,34482,47,34482,10,84688,60,84688,1,84688,80,84688,10,84688,89,84103,74,84103,90,84103,83,84103,77,84103,91,84103,80,84103,44,84103,58,84103,79,84103,100,84103,76,84103,,13761
8/14/21,17:02:48,3,REMOVED,1,6.4.2,26,14955,Male,14955,Caucasian,14955,Master's Degree,14955,Yes,14955,Somewhat liberal,7355,Independent,7355,6,27141,6,27141,1,27141,2,27141,3,27141,6,27141,5cents,70532,5minutes,70532,47days,70532,0point1,104456,atriskperson,104456,64percent,104456,20,104456,1in10,104456,72,86164,5,86164,0,86164,5,86164,90,86164,27,86164,0,86164,34,86164,30,86164,9,86164,67,86164,6,86164,I could not put spaces or decimal points in my answers to the math questions; those will have to be manually verified and scored.,38026
8/14/21,17:20:28,4,REMOVED,1,6.4.2,18,7933,Female,7933,Hispanic,7933,High School,7933,Yes,7933,Somewhat liberal,7110,Democrat,7110,5,21157,5,21157,4,21157,2,21157,6,21157,7,21157,5cents,68396,5,68396,47,68396,0point10,232482,doctor,232482,64,232482,20,232482,1in10,232482,50,31643,40,31643,74,31643,51,31643,50,31643,61,31643,63,31643,60,31643,65,31643,50,31643,62,31643,50,31643,,6879
8/14/21,23:18:23,2,REMOVED,1,6.4.2,39,21643,Female,21643,Caucasian,21643,High School,21643,Yes,21643,Somewhat liberal,9691,Democrat,9691,4,48304,4,48304,5,48304,6,48304,5,48304,5,48304,10cents,114619,100minutes,114619,24days,114619,1,208196,person,208196,14,208196,5,208196,1in10,208196,24,87875,28,87875,72,87875,92,87875,50,87875,50,87875,77,87875,61,87875,63,87875,78,87875,92,87875,34,87875,,6180
8/14/21,23:19:00,3,REMOVED,1,6.4.2,23,8322,Female,8322,Caucasian,8322,Bachelor's Degree,8322,Yes,8322,Very liberal,3426,Democrat,3426,3,27059,3,27059,4,27059,3,27059,4,27059,5,27059,5cents,205623,25minutes,205623,16days,205623,1,118606,atrisk,118606,64,118606,20,118606,1in10,118606,78,30980,35,30980,19,30980,50,30980,87,30980,23,30980,25,30980,25,30980,57,30980,48,30980,40,30980,16,30980,,3550
8/15/21,1:21:06,1,REMOVED,1,6.4.2,30,13799,Male,13799,Caucasian,13799,Doctoral PhD/MD,13799,Yes,13799,Very liberal,3769,Democrat,3769,7,18823,7,18823,1,18823,1,18823,6,18823,6,18823,5cents,70569,5minutes,70569,47days,70569,1,142276,randomperson,142276,64,142276,20,142276,1in10,142276,67,46099,12,46099,37,46099,0,46099,74,46099,42,46099,68,46099,55,46099,54,46099,60,46099,56,46099,50,46099,,4826
8/15/21,10:13:31,4,REMOVED,1,6.4.1,41,21198,Male,21198,African-American,21198,Master's Degree,21198,Yes,21198,Very liberal,5686,Democrat,5686,3,49650,4,49650,4,49650,5,49650,5,49650,5,49650,1,23224,100,23224,24,23224,1,82395,100,82395,2,82395,50,82395,1,82395,90,45133,95,45133,95,45133,96,45133,96,45133,60,45133,85,45133,76,45133,83,45133,90,45133,96,45133,95,45133,,3412
8/15/21,11:32:40,3,REMOVED,1,6.4.2,29,11063,Female,11063,Caucasian,11063,High School,11063,Yes,11063,Neither liberal nor conservative,8706,Democrat,8706,4,56863,5,56863,2,56863,2,56863,5,56863,3,56863,50cents,128047,5minutes,128047,24days,128047,lessthanonepercent,228832,personatrisk,228832,64percent,228832,20,228832,1in10,228832,40,46562,20,46562,52,46562,73,46562,69,46562,34,46562,59,46562,64,46562,45,46562,62,46562,77,46562,59,46562,,9776
8/15/21,14:56:13,3,REMOVED,1,6.4.2,35,15264,Female,15264,Caucasian,15264,Associate's Degree,15264,Yes,15264,Somewhat conservative,10005,Republican,10005,6,31057,6,31057,1,31057,1,31057,5,31057,4,31057,5,144232,5,144232,47,144232,point1,184845,person,184845,64,184845,20,184845,1in10,184845,0,72729,91,72729,100,72729,78,72729,18,72729,100,72729,100,72729,77,72729,100,72729,73,72729,100,72729,100,72729,,8896
8/15/21,11:53:37,2,REMOVED,1,6.4.2,70,15877,Female,15877,Caucasian,15877,Doctoral PhD/MD,15877,No,15877,Somewhat liberal,7134,Democrat,7134,7,17738,7,17738,1,17738,1,17738,7,17738,7,17738,5cents,43219,100,43219,47,43219,lessthanonethiskeyboardisstupid,172676,atriskperson,172676,decimalplacethen64becauseyouaskedforprobabilityandnotforpercent,172676,20,172676,1in10,172676,100,69948,0,69948,100,69948,0,69948,100,69948,0,69948,0,69948,0,69948,100,69948,0,69948,51,69948,0,69948,"Anything having to do with typing was absolutely stupid and probably invalid. I needed to use decimal places in a lot of places or put in spaces between words such as the ball costing .05 dollar or 5 space cents. The same for most of the other responses. You are getting junk. I hope I am a reviewer on this study, I will crucify your slopping methods. And I along with LOTS of students, etc. already know about need for cognition, CRT, etc. People in general are getting to savvy for these. Finally, I think the first part was total bullshit as well. ",110213
8/15/21,16:04:01,1,REMOVED,1,6.4.2,24,9540,Female,9540,Caucasian,9540,Bachelor's Degree,9540,Yes,9540,Very liberal,4419,Democrat,4419,5,29146,4,29146,2,29146,2,29146,5,29146,5,29146,10cents,138778,5minutes,138778,47,138778,point1,121817,person,121817,64percent,121817,20percent,121817,1in10,121817,55,57486,55,57486,27,57486,54,57486,89,57486,40,57486,26,57486,3,57486,78,57486,54,57486,45,57486,0,57486,,5390
8/15/21,14:58:35,4,REMOVED,1,6.4.1,71,18926,Female,18926,Caucasian,18926,Doctoral PhD/MD,18926,Yes,18926,Somewhat conservative,10020,Republican,10020,6,30481,6,30481,2,30481,2,30481,7,30481,6,30481,10,67120,100,67120,24,67120,1,170840,person,170840,14,170840,20,170840,1in10,170840,42,73792,75,73792,75,73792,75,73792,50,73792,83,73792,88,73792,86,73792,93,73792,98,73792,50,73792,50,73792,,3675
8/15/21,16:11:28,2,REMOVED,1,6.4.1,20,10718,Male,10718,Caucasian,10718,High School,10718,,10718,Very liberal,4543,Democrat,4543,5,32250,5,32250,3,32250,4,32250,6,32250,6,32250,10,94611,5minutes,94611,24days,94611,1,190268,doctor,190268,64,190268,64,190268,1in10,190268,86,41860,30,41860,25,41860,30,41860,86,41860,24,41860,6,41860,8,41860,62,41860,58,41860,27,41860,9,41860,I could not type properly in some of the boxes,15502
8/15/21,18:25:40,2,REMOVED,1,6.4.2,33,9784,Male,9784,Hispanic,9784,Primary School,9784,Yes,9784,Very liberal,4204,Democrat,4204,6,17655,5,17655,3,17655,1,17655,7,17655,7,17655,10cents,52638,20,52638,24,52638,1,71962,Doctor,71962,32,71962,20,71962,1in10,71962,100,34985,64,34985,40,34985,0,34985,100,34985,21,34985,0,34985,64,34985,67,34985,41,34985,50,34985,0,34985,Its very confusing.,10472
8/15/21,19:12:14,3,REMOVED,1,6.4.2,24,8378,Female,8378,Hispanic,8378,Bachelor's Degree,8378,Yes,8378,Very liberal,3350,Democrat,3350,2,19158,1,19158,4,19158,6,19158,2,19158,2,19158,5cents,101828,5min,101828,47,101828,point1percent,141793,person,141793,64,141793,20,141793,1in10,141793,62,34315,0,34315,0,34315,0,34315,100,34315,0,34315,0,34315,0,34315,16,34315,0,34315,0,34315,0,34315,Difficult to type in answers. ,18587
8/15/21,18:21:14,1,REMOVED,1,6.4.2,45,16051,Female,16051,Caucasian,16051,High School,16051,Yes,16051,Closer to liberals,13671,Independent,13671,5,58317,4,58317,2,58317,5,58317,5,58317,4,58317,10cents,104014,5minutes,104014,24days,104014,1tenthof1percent,191623,theatriskpatient,191623,64,191623,20,191623,1in10,191623,5,70702,12,70702,92,70702,50,70702,71,70702,70,70702,75,70702,62,70702,50,70702,75,70702,89,70702,91,70702,,9432
