Participant,V_int,V_cond,Z,V_int_pop,V_cond_pop,Z_pop
2884955,-0.018731361,0.025995148,0.517592952,-0.084166103,0.176982198,0.513628687
3964964,-0.169936326,0.409389455,0.510180851,-0.188578145,0.409447414,0.508080721
12919430,-0.505410383,0.901826067,0.517500582,-0.484006478,0.874330325,0.515568622
34984274,0.029925051,-0.043582677,0.519717701,0.011749912,-0.01753217,0.518795056
41833230,-0.277861344,0.344184461,0.512165107,-0.273898906,0.331760755,0.510723455
43020357,-0.234076689,0.548487291,0.518946423,-0.226091677,0.504802121,0.518367133
48595352,0.408798569,0.422094527,0.526987052,0.385180507,0.431392585,0.527273148
48977487,-0.237868298,0.754496235,0.512210922,-0.217389968,0.71351926,0.511529188
56470734,-0.046266771,0.308889619,0.513758748,-0.054614272,0.312346641,0.512816261
74263281,-0.257058543,0.524358161,0.511228675,-0.251073562,0.519468156,0.509079733
75969320,-0.055159053,0.374141191,0.526419442,-0.077269572,0.36218438,0.525656109
92774005,-0.249999788,0.625204133,0.515354875,-0.243345338,0.614781158,0.513731771
96226407,-0.290960498,0.457045649,0.5185571,-0.277973562,0.426059123,0.515570252
97123322,-0.285027683,0.403586435,0.518570615,-0.275286036,0.404436433,0.515717473
100416772,-0.295131366,0.524766532,0.519143184,-0.286612941,0.512645856,0.518426046
102783161,-0.26781226,0.44322685,0.515946666,-0.234934732,0.491903867,0.517234137
103303422,-0.232635459,0.478741692,0.515192467,-0.354478817,0.165648167,0.509649366
120939072,-0.252147132,0.598171723,0.514991211,-0.24278324,0.615394171,0.514464176
129490812,-0.228955649,0.321970766,0.519681181,-0.223417349,0.2973373,0.516796097
130271607,-0.456353421,0.140249888,0.515000939,-0.422308277,0.15900771,0.511573167
130941034,-0.290980639,0.193678912,0.51643467,-0.304126726,0.217325799,0.516227117
134057190,-0.286096458,0.567871008,0.517127368,-0.279201842,0.560449588,0.515553174
147547787,-0.273966546,0.516986814,0.521838189,-0.294236001,0.496784366,0.51823878
148334112,-0.344743431,0.718768898,0.514633448,-0.334735651,0.700470605,0.513148609
176326342,-0.339417621,0.746388269,0.516232844,-0.302833635,0.683759194,0.515198361
189660560,-0.062809095,0.232676024,0.516225725,-0.074834187,0.251424686,0.515102254
192065971,-0.370945249,0.75572496,0.522051977,-0.362572157,0.724518447,0.520635288
218675715,-0.466713021,0.78777322,0.510541694,-0.449854872,0.769922664,0.508222637
224184422,-0.241232917,0.373873118,0.516662985,-0.239362201,0.374117482,0.515505959
224557592,-0.409116441,0.738727149,0.52307103,-0.383892964,0.720349112,0.522966655
245315813,-0.336518476,0.547216877,0.511532225,-0.32555048,0.519037042,0.507568502
251264572,-0.210733425,0.227005483,0.513883528,-0.211019332,0.231476403,0.512507696
251653297,-0.272072372,0.525890415,0.514895926,-0.235869379,0.502080443,0.513647763
252234006,-0.056488457,0.232390548,0.526186219,-0.070141758,0.235760994,0.526053511
254632445,-0.140484207,0.559419866,0.516417317,-0.141809716,0.586463676,0.517594613
278773301,-0.237549103,0.661853077,0.519734999,-0.234426973,0.641647674,0.518119723
294041592,-0.13294947,0.217297637,0.513349841,-0.135205518,0.217234634,0.511519349
299760590,-0.291150318,0.463742352,0.522619225,-0.27690482,0.451418924,0.521980164
312902548,-0.182530834,0.310246434,0.519246885,-0.17612696,0.376522172,0.517761928
321769333,-0.354729077,0.678283488,0.510827283,-0.339616644,0.658738191,0.508938227
324908376,-0.163167958,0.623991978,0.515581748,-0.160677716,0.617255448,0.514393488
331590088,-0.370210841,1.007647885,0.523241808,-0.351979519,0.946217375,0.522879476
333010087,-0.27554689,0.623325959,0.519912656,-0.255775691,0.581993655,0.517766356
334324861,-0.292801433,0.512099151,0.516605238,-0.273306826,0.490698655,0.515664529
336172395,-0.324785689,0.234682476,0.514615777,-0.328651575,0.245852393,0.514047955
349171132,-0.461836925,0.848806997,0.510225746,-0.428804116,0.796068761,0.508487736
350745134,0.099080863,0.103553557,0.510615379,0.064415865,0.137851373,0.508216197
351777009,-0.279377841,0.309074609,0.517501979,-0.278562398,0.35027479,0.515836291
355043712,-0.135769955,0.4301264,0.526803172,-0.129346862,0.410219332,0.526866782
367119634,-0.08876065,0.178066076,0.516427296,-0.098202933,0.195585971,0.515385645
374844073,-0.130967453,0.136048244,0.523026428,-0.146103436,0.150727254,0.517960663
374999420,-0.254202295,0.764980167,0.521839985,-0.248765936,0.743807377,0.520035064
394422911,-0.293863423,0.436791053,0.521788848,-0.288373705,0.455183974,0.520882049
396122776,-0.23338144,0.503138625,0.518043532,-0.229165459,0.498266147,0.516728964
408368411,-0.331866833,0.632279587,0.518756849,-0.330052674,0.554833725,0.517133177
432332461,-0.25001612,0.342050754,0.52033646,-0.258352055,0.372285972,0.518908336
433311086,-0.280872954,0.50825115,0.515154593,-0.268339595,0.49663524,0.513257171
446421117,-0.27638265,0.231093932,0.52826175,-0.253972235,0.286242052,0.525097958
449943813,-0.189871243,0.413783193,0.52183626,-0.191014138,0.395958772,0.52144314
452249694,-0.445433409,0.441376787,0.516540887,-0.42264979,0.42193665,0.514451901
455194813,-0.218356023,0.363481001,0.515154657,-0.21177347,0.379044246,0.512407369
455717130,-0.146530259,0.229390476,0.511970188,-0.149268152,0.236500536,0.509923721
492518259,-0.121789822,0.160550572,0.515615059,-0.146130583,0.184721506,0.513785738
502901314,-0.264894883,0.4674101,0.52216145,-0.277933925,0.473841806,0.519017362
504663288,-0.235309274,0.560603757,0.523809409,-0.234166506,0.537454102,0.523360256
507157861,-0.188594432,0.424073035,0.511497496,-0.193709892,0.486718939,0.509324047
507740391,-0.227306661,0.559481387,0.509000878,-0.241250096,0.564163051,0.506863878
514268702,-0.27951988,0.575855661,0.510604715,-0.263583143,0.549082496,0.508706149
522579064,-0.341194448,0.755179251,0.514440942,-0.330322065,0.748127873,0.51323451
534449063,-0.028775559,0.055861118,0.52380469,-0.023350255,0.048568381,0.523641354
539422517,-0.486414013,1.144598,0.516099547,-0.353947514,0.925707716,0.51499588
546064836,-0.023157759,0.440915788,0.523602178,-0.039657649,0.470825659,0.524335624
561564728,-0.334860415,0.663917841,0.517033733,-0.325109104,0.649563721,0.516047764
563121476,-0.107939324,0.324418899,0.51240479,-0.125852735,0.351859498,0.510614925
578711405,-0.127037305,0.506242281,0.519737481,-0.127122903,0.473200075,0.519225094
584470675,-0.226554575,0.215265854,0.518870986,-0.231769493,0.2294817,0.516282788
586071473,-0.373727547,0.920728854,0.518954549,-0.356545967,0.897215461,0.5178216
589703985,-0.223535635,0.476712604,0.516891672,-0.17720258,0.475347061,0.516440849
605713945,-0.231270491,0.43221733,0.515874002,-0.219911082,0.430333702,0.515509971
626227255,-0.185869113,0.489519873,0.519401997,-0.184140461,0.481005886,0.518213376
628308431,-0.204953867,0.325832705,0.512112758,-0.206528228,0.332519497,0.510096334
630235377,-0.131807595,0.324983788,0.518415127,-0.140635474,0.35191765,0.517536109
642346147,-0.195936082,0.740648298,0.518804146,-0.190333299,0.704356496,0.5180261
650974545,-0.26653341,0.570395282,0.520248717,-0.252346553,0.553792083,0.51964932
652231699,-0.36204036,0.535243232,0.520025554,-0.351621754,0.521888226,0.519023205
657894484,-0.381915932,0.102444684,0.526119198,-0.379405648,0.116509668,0.525750685
664438269,-0.32197685,0.62460183,0.517481507,-0.312551101,0.610620142,0.515922027
673728725,-0.383648234,0.721775741,0.516688749,-0.366564728,0.687612735,0.514685755
683861923,-0.221163286,0.411994911,0.506645971,-0.216619077,0.411109225,0.503127446
696039965,-0.155619268,0.345969749,0.52196023,-0.159823532,0.349397509,0.521162076
716236442,-0.111972161,0.308951392,0.517258918,-0.117260088,0.316390008,0.515498387
717256200,-0.185870246,0.613179609,0.513282546,-0.187116079,0.612454685,0.511753996
718176674,-0.299645573,0.635939991,0.511475937,-0.294979818,0.607305445,0.514173427
720435955,-0.211346869,0.539562974,0.514161036,-0.208469949,0.505432877,0.510458843
733093513,-0.231281701,0.617179413,0.51982911,-0.225070508,0.6081023,0.518692889
749079099,-0.112844243,0.715257541,0.51839393,-0.112703081,0.695860753,0.517091855
755075290,-0.128093021,0.512910354,0.522898923,-0.146434518,0.498540251,0.522795763
770588123,-0.210458854,0.236866842,0.515317149,-0.215515934,0.253798218,0.514640841
778697233,-0.263980727,0.24899821,0.517369161,-0.25568065,0.272348167,0.515775518
779970594,0.206837723,0.552189318,0.523808778,0.156192274,0.516642913,0.521893972
789515489,-0.210715282,0.170064525,0.513006483,-0.211450879,0.179142137,0.511170759
796639530,-0.270206026,0.611819414,0.518710775,-0.260706318,0.609259544,0.517549231
815555952,-0.40028818,0.798531276,0.512649261,-0.370927319,0.757373955,0.510847694
828632181,-0.256486894,0.18169789,0.512061967,-0.26392317,0.238575084,0.510230455
840480197,-0.239414959,0.281194107,0.521769952,-0.245620301,0.298492891,0.520102427
846755060,-0.229021129,0.693511976,0.513792417,-0.223608455,0.682761436,0.511885748
860810996,-0.403672723,0.638619707,0.513897294,-0.395142227,0.644981581,0.51324501
874342939,-0.170465952,0.328710459,0.516063309,-0.173972809,0.319550454,0.514431905
885985637,-0.321162364,0.634352508,0.520158968,-0.306385378,0.615173349,0.521763947
889540573,-0.32808609,0.436142026,0.512375371,-0.311172396,0.439611408,0.509113923
891299842,-0.34705263,0.616816382,0.51199519,-0.337697642,0.608911372,0.510373992
894143700,-0.294800284,0.384047881,0.522430721,-0.286434092,0.378226352,0.521549782
904039471,-0.253171342,0.526287935,0.514111355,-0.253061684,0.484666149,0.508996697
909861321,-0.103702611,0.191963015,0.514958654,-0.111442961,0.201836695,0.513426018
910114803,-0.23302564,0.480356277,0.515852512,-0.228146288,0.474921678,0.514305211
911960296,-0.177258454,0.287228713,0.510158681,-0.183842105,0.260563262,0.508493232
923162466,-0.433138843,0.245356356,0.514153989,-0.384764288,0.264978736,0.514146016
931420970,-0.161615235,0.32631638,0.516048462,-0.15758968,0.325276057,0.517227032
933260573,0.276926773,0.423779807,0.521263652,0.233226031,0.414154133,0.51990087
945098209,-0.145211416,0.481337019,0.513256454,-0.13703008,0.47905859,0.508052486
949645864,-0.264657351,0.580935243,0.516440366,-0.262447837,0.560839714,0.517261544
949879914,-0.14117246,0.251539646,0.517823777,-0.176435424,0.270369652,0.516320371
956660069,-0.198024685,0.446305347,0.509598668,-0.220634368,0.482740913,0.507236263
961875421,-0.117611849,0.176518137,0.51903203,-0.142682886,0.190231772,0.520176081
964326783,-0.421040454,0.75896331,0.514990572,-0.401576771,0.722009232,0.513744073
968634301,-0.317849498,0.380908201,0.519363882,-0.312942075,0.397013208,0.515985119
971172922,-0.299235041,0.803445867,0.512304127,-0.273625786,0.756529065,0.510597652
977170877,-0.484506881,0.973678144,0.517457438,-0.41221991,0.851447034,0.516374343
979660929,-0.162739081,0.268688421,0.51800336,-0.166117471,0.277681657,0.516371629
984661157,-0.292803066,0.89210405,0.511649281,-0.273567698,0.871034937,0.509878072
985750851,-0.375642549,0.835505698,0.515187138,-0.354999352,0.798217193,0.513261281